idna_subject,checker_type,destination,tested_at
download.torchbrowser.com,AVAILABILITY,domains.list,2021-06-22 12:28:11.262633
ns1.ntkrnlpa.info,AVAILABILITY,domains.list,2021-06-23 12:12:31.288420
ns2.ntkrnlpa.info,AVAILABILITY,domains.list,2021-06-23 12:13:36.583452
www.luchtenbergdecor.com.br,AVAILABILITY,domains.list,2021-06-24 00:36:25.401766
www.ntkrnlpa.info,AVAILABILITY,domains.list,2021-06-24 00:37:37.617932
www.sellmeyourtraffic.com,AVAILABILITY,domains.list,2021-06-24 00:40:39.550624
www.cabeles.com,AVAILABILITY,domains.list,2021-06-24 00:49:09.210374
xamateurpornlic.www1.biz,AVAILABILITY,domains.list,2021-06-24 00:49:09.959947
bseaqmi.angelcities.com,AVAILABILITY,domains.list,2021-06-24 00:49:42.842827
d.tds.adlabs.ru,AVAILABILITY,domains.list,2021-06-24 00:49:45.337231
d.zeroredirect.com,AVAILABILITY,domains.list,2021-06-24 00:49:56.879599
dipli.unipa.it,AVAILABILITY,domains.list,2021-06-24 00:49:58.685562
directhackerz.tk,AVAILABILITY,domains.list,2021-06-24 00:50:01.174024
dlldlldll.sytes.net,AVAILABILITY,domains.list,2021-06-24 00:50:01.631739
doda.redirectme.net,AVAILABILITY,domains.list,2021-06-24 00:50:02.126616
cuoujvfi.angelcities.com,AVAILABILITY,domains.list,2021-06-24 00:50:29.881900
e.zeroredirect.com,AVAILABILITY,domains.list,2021-06-24 00:50:41.268653
eclean.or.kr,AVAILABILITY,domains.list,2021-06-24 00:50:45.022625
egoldenglove.com,AVAILABILITY,domains.list,2021-06-24 00:50:45.481871
elisaart.it,AVAILABILITY,domains.list,2021-06-24 00:50:47.787077
err.000webhost.com,AVAILABILITY,domains.list,2021-06-24 00:50:48.257414
counter.top.dating.lt,AVAILABILITY,domains.list,2021-06-24 00:50:50.885868
f.zeroredirect.com,AVAILABILITY,domains.list,2021-06-24 00:51:01.942900
www.x-park.net,AVAILABILITY,domains.list,2021-06-24 00:51:03.108363
